期号,日期,百位,十位,个位,销售额
20167,2020-06-15,6,3,1,49735014
20168,2020-06-16,3,1,4,18123867
20169,2020-06-17,9,0,5,45751928
20170,2020-06-18,6,5,1,43954453
20171,2020-06-19,5,0,6,42896879
20172,2020-06-20,1,6,5,40852585
20173,2020-06-21,2,6,2,45013831
20174,2020-06-22,4,9,8,42446968
20175,2020-06-23,7,6,9,28011719
20176,2020-06-24,5,3,1,28718557
20177,2020-06-25,7,3,7,48241962
20178,2020-06-26,9,6,5,11926024
20179,2020-06-27,7,5,2,42718922
20180,2020-06-28,3,5,4,32839753
20181,2020-06-29,4,9,4,47298504
20182,2020-06-30,0,8,3,15745388
20183,2020-07-01,3,6,7,47257244
20184,2020-07-02,3,7,7,40076484
20185,2020-07-03,0,1,4,24871082
20186,2020-07-04,6,3,4,49027534
20187,2020-07-05,5,7,8,45629567
20188,2020-07-06,5,6,8,32199028
20189,2020-07-07,5,7,4,30577120
20190,2020-07-08,4,3,1,22924113
20191,2020-07-09,5,1,8,22425195
20192,2020-07-10,3,3,7,28555575
20193,2020-07-11,9,8,9,28991721
20194,2020-07-12,1,3,4,25266136
20195,2020-07-13,5,2,4,10949480
20196,2020-07-14,8,2,4,13054506
20197,2020-07-15,0,8,4,18474473
20198,2020-07-16,7,1,0,48524797
20199,2020-07-17,4,7,7,39559360
20200,2020-07-18,5,2,0,26943537
20201,2020-07-19,7,1,1,36891021
20202,2020-07-20,7,1,9,13597644
20203,2020-07-21,2,2,9,30390056
20204,2020-07-22,1,3,1,47451647
20205,2020-07-23,6,9,9,25145607
20206,2020-07-24,8,6,7,39710503
20207,2020-07-25,4,9,6,30493721
20208,2020-07-26,9,9,0,16659452
20209,2020-07-27,3,3,4,15448398
20210,2020-07-28,2,3,2,47043572
20211,2020-07-29,1,2,0,37415150
20212,2020-07-30,7,9,7,29546080
20213,2020-07-31,0,3,4,28972908
20214,2020-08-01,7,1,3,27753960
20215,2020-08-02,9,3,6,17702507
20216,2020-08-03,8,3,2,27826293
20217,2020-08-04,2,1,0,21134889
20218,2020-08-05,4,9,9,29368328
20219,2020-08-06,7,1,7,30407214
20220,2020-08-07,6,4,8,46237549
20221,2020-08-08,7,7,1,12675011
20222,2020-08-09,6,5,9,26801905
20223,2020-08-10,0,1,3,48600958
20224,2020-08-11,9,0,4,48671280
20225,2020-08-12,0,2,7,44827073
20226,2020-08-13,7,4,2,49280806
20227,2020-08-14,6,7,1,41541863
20228,2020-08-15,5,6,5,31545854
20229,2020-08-16,1,2,5,37625034
20230,2020-08-17,7,4,6,46916358
20231,2020-08-18,0,7,1,31106889
20232,2020-08-19,4,5,1,37123728
20233,2020-08-20,8,0,8,41002707
20234,2020-08-21,6,0,3,44791878
20235,2020-08-22,5,9,7,39664866
20236,2020-08-23,0,3,4,46857506
20237,2020-08-24,2,4,7,42528458
20238,2020-08-25,1,0,9,26058980
20239,2020-08-26,2,4,8,10917677
20240,2020-08-27,8,6,1,25079405
20241,2020-08-28,1,7,1,20332827
20242,2020-08-29,7,4,8,28349234
20243,2020-08-30,6,7,7,26356504
20244,2020-08-31,7,8,2,35742021
20245,2020-09-01,3,9,8,19160919
20246,2020-09-02,1,4,6,32808641
20247,2020-09-03,8,4,0,28981002
20248,2020-09-04,4,9,9,42859207
20249,2020-09-05,2,7,8,42503600
20250,2020-09-06,5,5,8,46468974
20251,2020-09-07,6,7,5,22660246
20252,2020-09-08,3,9,6,25674110
20253,2020-09-09,6,0,5,41740898
20254,2020-09-10,6,6,2,43240942
20255,2020-09-11,0,2,8,49606338
20256,2020-09-12,5,1,7,16691538
20257,2020-09-13,8,7,0,19674106
20258,2020-09-14,6,2,1,41506980
20259,2020-09-15,4,5,9,36674654
20260,2020-09-16,1,5,8,35501998
20261,2020-09-17,5,7,8,12409147
20262,2020-09-18,9,1,3,29285678
20263,2020-09-19,3,1,6,16606406
20264,2020-09-20,1,7,2,30096828
20265,2020-09-21,0,0,5,13766097
20266,2020-09-22,4,5,5,38902901
20267,2020-09-23,2,3,8,37652324
20268,2020-09-24,9,2,2,21748705
20269,2020-09-25,1,9,6,26161813
20270,2020-09-26,7,9,2,25581902
20271,2020-09-27,7,4,7,27134685
20272,2020-09-28,0,7,4,46681580
20273,2020-09-29,2,1,7,33190516
20274,2020-09-30,9,4,6,26783807
20275,2020-10-01,7,4,3,35816326
20276,2020-10-02,7,1,3,35592924
20277,2020-10-03,9,5,9,29855659
20278,2020-10-04,4,0,6,28420066
20279,2020-10-05,0,9,0,43334803
20280,2020-10-06,4,3,9,33643859
20281,2020-10-07,3,3,9,26819279
20282,2020-10-08,2,1,0,30732134
20283,2020-10-09,7,0,9,34485422
20284,2020-10-10,2,1,4,31925749
20285,2020-10-11,6,2,3,18869093
20286,2020-10-12,8,5,8,43674876
20287,2020-10-13,4,2,4,42336260
20288,2020-10-14,4,5,1,41429187
20289,2020-10-15,1,2,3,36669833
20290,2020-10-16,8,5,1,36479450
20291,2020-10-17,0,4,8,18293899
20292,2020-10-18,7,5,4,49229163
20293,2020-10-19,6,5,1,25691522
20294,2020-10-20,7,0,9,47675411
20295,2020-10-21,5,9,3,14242423
20296,2020-10-22,7,4,6,17829989
20297,2020-10-23,2,0,0,30425561
20298,2020-10-24,7,1,1,25757163
20299,2020-10-25,8,2,6,40443517
20300,2020-10-26,5,8,6,49415743
20301,2020-10-27,2,6,1,42839523
20302,2020-10-28,9,6,4,12195552
20303,2020-10-29,5,3,7,39843033
20304,2020-10-30,3,5,1,34651431
20305,2020-10-31,8,5,0,36718699
20306,2020-11-01,4,3,1,40515566
20307,2020-11-02,1,3,9,11433274
20308,2020-11-03,0,5,3,18450608
20309,2020-11-04,9,3,1,47192255
20310,2020-11-05,3,9,3,25636276
20311,2020-11-06,5,2,9,10190290
20312,2020-11-07,4,2,2,46253245
20313,2020-11-08,4,2,1,11730076
20314,2020-11-09,2,0,5,25967319
20315,2020-11-10,9,5,0,21693464
20316,2020-11-11,4,0,2,38250184
20317,2020-11-12,8,1,1,41960325
20318,2020-11-13,7,5,8,49840252
20319,2020-11-14,1,7,8,24867952
20320,2020-11-15,9,0,8,30242068
20321,2020-11-16,7,0,0,42143931
20322,2020-11-17,6,6,1,42901385
20323,2020-11-18,7,1,1,31616558
20324,2020-11-19,9,2,1,18468574
20325,2020-11-20,4,9,9,46799577
20326,2020-11-21,5,6,9,45605066
20327,2020-11-22,4,7,8,38870188
20328,2020-11-23,1,1,8,24429953
20329,2020-11-24,6,7,3,37770558
20330,2020-11-25,5,7,6,37916592
20331,2020-11-26,1,5,6,30973101
20332,2020-11-27,4,5,2,41827579
20333,2020-11-28,1,1,1,16256566
20334,2020-11-29,6,1,5,18731900
20335,2020-11-30,8,0,9,47687426
20336,2020-12-01,8,5,1,37568900
20337,2020-12-02,5,6,0,29302482
20338,2020-12-03,9,4,5,16952516
20339,2020-12-04,9,8,3,20383766
20340,2020-12-05,7,3,1,33495752
20341,2020-12-06,8,5,1,28694396
20342,2020-12-07,9,3,6,47645770
20343,2020-12-08,9,9,8,11761864
20344,2020-12-09,9,4,0,22107517
20345,2020-12-10,4,4,5,33556783
20346,2020-12-11,0,2,2,48005165
20347,2020-12-12,6,1,2,12057363
20348,2020-12-13,1,8,3,35245979
20349,2020-12-14,6,7,5,20563557
20350,2020-12-15,5,4,5,48090558
20351,2020-12-16,9,1,0,20440790
20352,2020-12-17,2,9,0,15474843
20353,2020-12-18,4,7,6,42592205
20354,2020-12-19,9,7,6,28331916
20355,2020-12-20,3,8,1,33164158
20356,2020-12-21,6,1,4,49804565
20357,2020-12-22,7,8,4,13047907
20358,2020-12-23,3,6,9,13676355
20359,2020-12-24,0,3,4,24175672
20360,2020-12-25,2,4,4,32019918
20361,2020-12-26,1,0,7,38900768
20362,2020-12-27,2,2,6,45740996
20363,2020-12-28,3,8,8,33767756
20364,2020-12-29,1,6,0,39274201
20365,2020-12-30,0,7,1,31009143
20366,2020-12-31,9,6,9,37140360
21001,2021-01-01,6,4,1,37181258
21002,2021-01-02,0,5,2,40876580
21003,2021-01-03,5,1,6,17104354
21004,2021-01-04,3,6,9,36873732
21005,2021-01-05,8,1,6,30822173
21006,2021-01-06,5,3,5,21283195
21007,2021-01-07,1,8,1,45608286
21008,2021-01-08,8,3,5,33561904
21009,2021-01-09,2,3,1,19827705
21010,2021-01-10,4,3,2,20258917
21011,2021-01-11,1,2,7,41135363
21012,2021-01-12,9,9,7,47882402
21013,2021-01-13,9,5,5,20130579
21014,2021-01-14,7,1,7,39676080
21015,2021-01-15,4,4,9,13769647
21016,2021-01-16,5,8,1,30831118
21017,2021-01-17,7,7,0,13817826
21018,2021-01-18,5,4,1,16059695
21019,2021-01-19,9,9,8,35802182
21020,2021-01-20,7,9,8,12752987
21021,2021-01-21,7,9,3,31577295
21022,2021-01-22,9,7,8,20124115
21023,2021-01-23,0,7,1,33047718
21024,2021-01-24,1,8,2,12626783
21025,2021-01-25,3,7,7,45169645
21026,2021-01-26,8,9,2,34420778
21027,2021-01-27,5,4,6,37432049
21028,2021-01-28,5,9,0,32457937
21029,2021-01-29,1,5,1,47444277
21030,2021-01-30,6,4,4,20091383
21031,2021-01-31,5,1,9,19491097
21032,2021-02-01,5,4,6,18653799
21033,2021-02-02,9,1,4,47508625
21034,2021-02-03,6,5,2,45325659
21035,2021-02-04,1,6,8,34281872
21036,2021-02-05,0,5,4,22097239
21037,2021-02-06,3,5,7,22885253
21038,2021-02-07,3,2,2,15178461
21039,2021-02-08,4,1,8,46223402
21040,2021-02-09,8,0,5,18794552
21041,2021-02-10,9,6,2,20888226
21042,2021-02-11,2,9,2,39371765
21043,2021-02-12,0,6,5,25940381
21044,2021-02-13,7,9,4,40127045
21045,2021-02-14,3,8,3,30768038
21046,2021-02-15,7,3,5,48280197
21047,2021-02-16,7,7,4,35627025
21048,2021-02-17,8,8,6,20875539
21049,2021-02-18,3,9,2,26777431
21050,2021-02-19,0,7,5,47214599
21051,2021-02-20,1,8,1,29130255
21052,2021-02-21,1,2,4,40153302
21053,2021-02-22,8,2,6,16154793
21054,2021-02-23,3,7,5,11789806
21055,2021-02-24,6,0,6,43689127
21056,2021-02-25,5,3,6,15476448
21057,2021-02-26,5,3,0,31386579
21058,2021-02-27,1,5,2,19234152
21059,2021-02-28,0,4,7,19314219
21060,2021-03-01,7,7,9,10352401
21061,2021-03-02,1,0,4,24472344
21062,2021-03-03,2,8,9,45418146
21063,2021-03-04,6,1,4,25947765
21064,2021-03-05,4,1,0,26001404
21065,2021-03-06,6,9,7,14214916
21066,2021-03-07,1,7,9,45973960
21067,2021-03-08,0,8,9,26236193
21068,2021-03-09,2,4,6,10104980
21069,2021-03-10,9,5,3,48296593
21070,2021-03-11,6,2,1,45130453
21071,2021-03-12,5,1,8,46512722
21072,2021-03-13,8,8,8,11364612
21073,2021-03-14,6,7,0,35963165
21074,2021-03-15,5,4,0,33964164
21075,2021-03-16,1,5,3,16956764
21076,2021-03-17,9,5,2,12975317
21077,2021-03-18,5,8,5,21750032
21078,2021-03-19,7,7,2,19049803
21079,2021-03-20,1,7,0,29692597
21080,2021-03-21,3,0,3,12812260
21081,2021-03-22,5,4,8,36724363
21082,2021-03-23,8,7,4,12457578
21083,2021-03-24,3,4,5,13208074
21084,2021-03-25,5,4,1,34697348
21085,2021-03-26,6,6,7,35947291
21086,2021-03-27,5,2,7,43388229
21087,2021-03-28,5,8,4,15543964
21088,2021-03-29,6,1,6,22110229
21089,2021-03-30,8,4,5,16885229
21090,2021-03-31,1,5,4,30568588
21091,2021-04-01,7,9,6,21183341
21092,2021-04-02,7,5,7,12842406
21093,2021-04-03,5,9,6,28425098
21094,2021-04-04,0,1,6,34381397
21095,2021-04-05,8,2,0,19581767
21096,2021-04-06,9,7,0,18471153
21097,2021-04-07,1,3,5,34303514
21098,2021-04-08,6,9,0,20297060
21099,2021-04-09,7,5,5,39792261
21100,2021-04-10,1,9,2,45531451
21101,2021-04-11,5,6,5,28702553
21102,2021-04-12,3,1,0,22485473
21103,2021-04-13,7,8,6,47693217
21104,2021-04-14,1,4,4,39948881
21105,2021-04-15,3,9,4,42963887
21106,2021-04-16,3,1,2,14969548
21107,2021-04-17,7,2,7,15891536
21108,2021-04-18,5,5,1,46909683
21109,2021-04-19,8,4,4,20569998
21110,2021-04-20,2,5,8,25048600
21111,2021-04-21,1,3,2,25887096
21112,2021-04-22,7,0,5,47179749
21113,2021-04-23,9,5,7,47020399
21114,2021-04-24,2,9,1,14412280
21115,2021-04-25,4,6,7,45278838
21116,2021-04-26,6,6,9,14949326
21117,2021-04-27,2,5,1,40197277
21118,2021-04-28,7,8,5,18612389
21119,2021-04-29,8,9,2,18659255
21120,2021-04-30,6,8,0,18332311
21121,2021-05-01,8,2,4,21049949
21122,2021-05-02,2,5,3,33221215
21123,2021-05-03,8,4,1,26817837
21124,2021-05-04,3,8,4,18400036
21125,2021-05-05,4,9,8,16269874
21126,2021-05-06,8,2,9,48966527
21127,2021-05-07,2,2,9,32657266
21128,2021-05-08,9,0,0,15450773
21129,2021-05-09,0,9,4,24147110
21130,2021-05-10,9,6,9,12032452
21131,2021-05-11,7,8,4,30273192
21132,2021-05-12,7,3,6,29960449
21133,2021-05-13,7,1,0,20608599
21134,2021-05-14,7,6,7,41168185
21135,2021-05-15,3,5,9,19641442
21136,2021-05-16,5,5,5,36757418
21137,2021-05-17,2,5,8,47691775
21138,2021-05-18,1,5,3,41304444
21139,2021-05-19,1,4,7,26637554
21140,2021-05-20,2,1,0,29475797
21141,2021-05-21,6,9,6,26661136
21142,2021-05-22,2,5,9,30985943
21143,2021-05-23,3,2,7,44542599
21144,2021-05-24,7,7,4,43377954
21145,2021-05-25,0,1,6,43919803
21146,2021-05-26,7,3,3,49147560
21147,2021-05-27,5,0,0,28881504
21148,2021-05-28,7,9,7,29176249
21149,2021-05-29,8,0,1,38919073
21150,2021-05-30,2,4,5,37061922
21151,2021-05-31,5,0,6,13433134
21152,2021-06-01,9,8,3,34328558
21153,2021-06-02,8,4,1,35927430
21154,2021-06-03,8,7,8,28771736
21155,2021-06-04,9,9,1,18634453
21156,2021-06-05,1,6,5,32755629
21157,2021-06-06,8,5,2,23358548
21158,2021-06-07,9,8,6,43559660
21159,2021-06-08,0,0,0,19196355
21160,2021-06-09,5,7,8,40667983
21161,2021-06-10,2,9,8,19380543
21162,2021-06-11,5,9,5,20905327
21163,2021-06-12,6,9,4,49844187
21164,2021-06-13,5,8,8,45724721
21165,2021-06-14,7,9,4,41869502
21166,2021-06-15,0,5,5,17355439
21167,2021-06-16,6,9,4,11788260
21168,2021-06-17,9,7,4,48820755
21169,2021-06-18,9,3,0,49159584
21170,2021-06-19,7,2,8,35514141
21171,2021-06-20,2,3,0,48424540
21172,2021-06-21,1,3,0,39597597
21173,2021-06-22,5,6,2,37713283
21174,2021-06-23,3,6,8,41648906
21175,2021-06-24,0,2,8,23914466
21176,2021-06-25,8,5,7,45264174
21177,2021-06-26,6,5,2,40847497
21178,2021-06-27,8,5,8,33775797
21179,2021-06-28,4,9,7,22902629
21180,2021-06-29,3,4,8,30031939
21181,2021-06-30,3,4,4,23910177
21182,2021-07-01,7,5,7,33407784
21183,2021-07-02,8,4,4,18178832
21184,2021-07-03,9,8,6,36476624
21185,2021-07-04,5,2,4,12823034
21186,2021-07-05,4,1,5,39687358
21187,2021-07-06,4,7,3,23560554
21188,2021-07-07,8,4,8,28228208
21189,2021-07-08,2,1,9,49381528
21190,2021-07-09,3,3,0,45637591
21191,2021-07-10,3,3,0,16724171
21192,2021-07-11,6,5,7,16747454
21193,2021-07-12,2,0,8,20599246
21194,2021-07-13,6,7,7,23385263
21195,2021-07-14,4,5,4,13970333
21196,2021-07-15,1,9,3,45913461
21197,2021-07-16,0,2,6,21796980
21198,2021-07-17,0,6,7,22503161
21199,2021-07-18,4,0,0,30024762
21200,2021-07-19,9,9,1,32484295
21201,2021-07-20,4,7,8,45186421
21202,2021-07-21,7,2,8,41408342
21203,2021-07-22,4,3,1,32191834
21204,2021-07-23,2,7,4,22495608
21205,2021-07-24,0,5,4,48103152
21206,2021-07-25,3,2,9,37211998
21207,2021-07-26,6,8,5,15820873
21208,2021-07-27,6,1,2,19436303
21209,2021-07-28,7,5,3,10458361
21210,2021-07-29,4,6,3,39979913
21211,2021-07-30,4,5,4,49088279
21212,2021-07-31,9,0,4,34129132
21213,2021-08-01,3,0,1,41232129
21214,2021-08-02,4,2,6,43723577
21215,2021-08-03,4,1,4,34665453
21216,2021-08-04,9,3,3,18963649
21217,2021-08-05,7,2,7,35073538
21218,2021-08-06,6,8,7,46072201
21219,2021-08-07,3,3,9,15494223
21220,2021-08-08,8,7,8,34278971
21221,2021-08-09,1,9,1,14144512
21222,2021-08-10,8,8,3,48433358
21223,2021-08-11,8,2,2,32019601
21224,2021-08-12,8,7,1,23784260
21225,2021-08-13,9,7,1,44250710
21226,2021-08-14,7,0,7,18854634
21227,2021-08-15,8,6,7,47843439
21228,2021-08-16,0,8,7,30680909
21229,2021-08-17,0,6,4,10202364
21230,2021-08-18,3,9,1,13039347
21231,2021-08-19,6,5,1,46316867
21232,2021-08-20,0,1,7,12129691
21233,2021-08-21,4,6,2,19088477
21234,2021-08-22,6,5,6,40100817
21235,2021-08-23,6,6,1,46191828
21236,2021-08-24,2,5,1,21977162
21237,2021-08-25,8,6,8,18546118
21238,2021-08-26,3,0,0,30022801
21239,2021-08-27,7,8,6,45697460
21240,2021-08-28,6,3,3,40912039
21241,2021-08-29,5,2,4,22648708
21242,2021-08-30,1,0,6,11049971
21243,2021-08-31,3,3,1,16771063
21244,2021-09-01,9,0,7,13266612
21245,2021-09-02,3,0,6,39458295
21246,2021-09-03,3,8,3,13787895
21247,2021-09-04,2,8,4,25714313
21248,2021-09-05,9,5,9,31519471
21249,2021-09-06,3,4,2,44980566
21250,2021-09-07,3,6,4,28465267
21251,2021-09-08,0,8,9,21752989
21252,2021-09-09,6,8,7,13146338
21253,2021-09-10,5,6,8,31389907
21254,2021-09-11,6,6,2,30125176
21255,2021-09-12,6,2,8,41777310
21256,2021-09-13,3,3,4,19687281
21257,2021-09-14,7,0,8,37694317
21258,2021-09-15,6,8,8,18998812
21259,2021-09-16,6,3,4,23645697
21260,2021-09-17,5,1,7,34902589
21261,2021-09-18,1,8,3,13458564
21262,2021-09-19,4,6,9,12653991
21263,2021-09-20,1,3,9,47503820
21264,2021-09-21,3,7,3,32344856
21265,2021-09-22,4,0,3,22752274
21266,2021-09-23,1,7,3,23724644
21267,2021-09-24,6,3,8,31583217
21268,2021-09-25,4,6,7,45812653
21269,2021-09-26,5,4,4,34135341
21270,2021-09-27,8,7,7,16617486
21271,2021-09-28,7,5,3,34877586
21272,2021-09-29,5,6,0,47750395
21273,2021-09-30,3,2,0,27500254
21274,2021-10-01,8,9,9,38023190
21275,2021-10-02,4,2,3,32136884
21276,2021-10-03,3,6,9,26490662
21277,2021-10-04,7,8,5,27268906
21278,2021-10-05,7,7,7,21289968
21279,2021-10-06,5,2,2,46678103
21280,2021-10-07,7,2,8,13941441
21281,2021-10-08,8,0,1,13255745
21282,2021-10-09,0,6,2,25531232
21283,2021-10-10,1,2,0,24678028
21284,2021-10-11,8,7,5,14056738
21285,2021-10-12,9,9,7,42739353
21286,2021-10-13,0,0,8,47020172
21287,2021-10-14,6,0,0,45528616
21288,2021-10-15,4,8,4,11150420
21289,2021-10-16,8,6,2,17181750
21290,2021-10-17,1,8,2,26171144
21291,2021-10-18,3,9,8,26939498
21292,2021-10-19,5,4,6,15302891
21293,2021-10-20,5,6,7,47916654
21294,2021-10-21,3,3,4,15410109
21295,2021-10-22,0,1,6,35451977
21296,2021-10-23,6,8,7,13765809
21297,2021-10-24,0,2,1,43544928
21298,2021-10-25,6,5,9,16399624
21299,2021-10-26,8,0,3,24187958
21300,2021-10-27,9,7,4,13124720
21301,2021-10-28,1,4,8,47816506
21302,2021-10-29,0,2,5,11050796
21303,2021-10-30,3,9,2,36729193
21304,2021-10-31,1,4,2,47846594
21305,2021-11-01,3,9,6,46276530
21306,2021-11-02,5,6,2,15263193
21307,2021-11-03,8,5,0,16555582
21308,2021-11-04,6,3,1,32856792
21309,2021-11-05,9,9,9,36622290
21310,2021-11-06,5,0,4,40235911
21311,2021-11-07,7,3,5,47113733
21312,2021-11-08,6,6,2,49317413
21313,2021-11-09,6,1,9,29822581
21314,2021-11-10,3,1,1,27983298
21315,2021-11-11,2,6,2,36147088
21316,2021-11-12,5,5,1,16141832
21317,2021-11-13,0,4,7,34153654
21318,2021-11-14,4,1,2,15858418
21319,2021-11-15,2,6,7,47378632
21320,2021-11-16,8,8,6,16931871
21321,2021-11-17,0,1,5,47193061
21322,2021-11-18,1,9,9,31772150
21323,2021-11-19,6,0,4,37770323
21324,2021-11-20,6,1,8,26290174
21325,2021-11-21,9,8,2,35550493
21326,2021-11-22,2,2,4,30208577
21327,2021-11-23,4,7,2,14245786
21328,2021-11-24,2,6,4,38259699
21329,2021-11-25,4,7,1,34234682
21330,2021-11-26,4,3,7,49849672
21331,2021-11-27,9,3,7,17178794
21332,2021-11-28,2,4,0,36554439
